Timestamp,Gender,MDE,Mom_Hours,Dad_Hours
10/31/2023 11:17:38,Male,Equal,8,8
10/31/2023 11:18:13,Female,Dad,17,7
10/31/2023 11:18:58,Male,Mom,9,4
10/31/2023 11:19:04,Male,Equal,15,9
10/31/2023 11:19:26,Male,Mom,12,4
10/31/2023 11:19:39,Female,Equal,13,6
10/31/2023 11:20:22,Male,Equal,11,7
10/31/2023 11:21:55,Female,Equal,6,6
10/31/2023 11:23:56,Male,Equal,13,11
10/31/2023 11:25:31,Female,Equal,10,7
10/31/2023 11:27:03,Female,Mom,7,4
10/31/2023 11:28:57,Female,Mom,15,8
10/31/2023 11:28:58,Female,Equal,10,10
10/31/2023 11:30:15,Male,Mom,14,9
10/31/2023 11:30:57,Female,Equal,13,7
10/31/2023 11:31:26,Female,Equal,14,8
